subject,DU time o,DU time r,DU time a,DU time n,DU time g,DU time shift,DU time E,DU time 2,DU time 0,DU time 1,DU time 9,DU time shift,DU time !,UD time o,UD time r,UD time a,UD time n,UD time g,UD time shift,UD time E,UD time 2,UD time 0,UD time 1,UD time 9,UD time shift,UD time !,3GRAM1,3GRAM2,3GRAM3,3GRAM4,3GRAM5,3GRAM6,3GRAM7,3GRAM8,3GRAM9,TOTAL TIME
sub26,0.172,0.125,0.122,0.144,0.139,0.465,0.154,0.125,0.127,0.146,0.114,0.471,0.161,0.036,0.238,0.123,0.172,0.496,0.154,0.249,0.089,0.081,0.058,0.362,0.161,0.96,1.063,1.575,1.416,1.474,1.055,1.057,0.74,1.253,1.151,4.054
sub26,0.121,0.144,0.128,0.114,0.095,0.559,0.165,0.136,0.117,0.135,0.1,0.565,0.179,0.134,0.339,0.149,0.178,0.386,0.165,0.248,0.124,0.072,0.138,0.445,0.179,1.129,1.147,1.503,1.332,1.424,1.184,1.103,0.822,1.468,1.383,4.427
sub26,0.147,0.113,0.15,0.101,0.109,0.505,0.13,0.119,0.117,0.108,0.099,0.505,0.148,0.123,0.298,0.066,0.169,0.337,0.13,0.273,0.137,0.043,0.083,0.374,0.148,0.998,1.006,1.338,1.221,1.343,1.151,1.026,0.706,1.214,1.169,3.976
sub27,0.122,0.088,0.103,0.107,0.095,0.382,0.114,0.102,0.092,0.096,0.084,0.375,0.12,0.031,0.204,0.079,0.098,0.268,0.114,0.164,0.083,0.059,0.034,0.811,0.12,0.734,0.774,1.068,0.95,1.011,0.823,0.774,0.55,1.536,1.4,3.477
sub27,0.126,0.087,0.091,0.103,0.096,0.285,0.099,0.117,0.113,0.119,0.098,0.429,0.179,0.006,0.187,0.105,0.031,0.287,0.099,0.214,0.048,0.025,0.009,0.093,0.179,0.705,0.7,0.975,0.802,0.999,0.777,0.758,0.529,0.855,0.748,2.669
sub28,0.242,0.087,0.116,0.029,0.083,0.332,0.093,0.11,0.219,0.03,0.091,0.285,0.1,0.198,0.071,0.275,0.187,0.394,0.09,0.246,0.235,0.004,0.034,0.313,0.095,1.018,0.848,1.416,1.028,1.168,1.145,0.937,0.723,0.976,0.758,3.589
sub28,0.071,0.326,0.009,0.063,0.072,0.482,0.077,0.108,0.081,0.115,0.242,0.418,0.124,0.328,0.003,0.119,0.166,0.17,0.077,0.236,0.221,0.124,0.125,0.051,0.124,0.919,0.758,1.035,0.953,1.068,1.128,1.008,1.016,1.081,0.951,3.53
sub29,0.078,0.062,0.094,0.094,0.094,0.344,0.062,0.14,0.094,0.11,0.063,0.36,0.125,0.25,0.078,0.157,0.375,0.156,0.062,1.438,0.047,0.234,0.734,0.203,0.11,0.813,0.954,1.314,1.063,2.172,2.063,2.125,1.422,1.798,1.485,5.22
sub31,0.14,0.125,0.156,0.141,0.11,0.531,0.172,0.109,0.156,0.109,0.11,0.687,0.187,0.063,0.172,0.031,0.156,0.5,0.172,0.172,0.047,0.015,0.047,0.375,0.187,0.828,0.891,1.5,1.438,1.422,1.015,0.875,0.563,1.219,1.328,3.922
sub32,0.078,0.094,0.094,0.094,0.094,0.25,0.109,0.109,0.11,0.109,0.094,0.235,0.109,0.062,0.25,0.156,0.125,0.187,0.109,0.141,0.078,0.031,0.047,0.187,0.109,0.828,0.907,1,0.75,0.781,0.688,0.687,0.578,0.813,0.672,2.625
sub32,0.094,0.109,0.125,0.078,0.078,0.251,0.11,0.125,0.094,0.094,0.094,0.375,0.11,0.156,0.297,0.11,0.156,0.312,0.11,0.172,0.109,0.062,0.094,0.281,0.11,0.969,0.953,1.11,0.875,0.938,0.751,0.766,0.672,1.016,0.938,3.266
sub32,0.094,0.11,0.11,0.094,0.094,0.265,0.109,0.125,0.094,0.11,0.094,0.297,0.125,0.156,0.312,0.171,0.141,0.25,0.093,0.156,0.235,0.14,0.218,0.5,0.125,1.047,1.032,1.125,0.86,0.906,0.891,0.969,1.016,1.438,1.219,3.782
sub32,0.094,0.109,0.094,0.094,0.093,0.297,0.109,0.14,0.093,0.109,0.094,0.328,0.141,0.375,0.297,0.187,0.141,0.266,0.109,0.141,0.11,0.204,0.203,0.313,0.141,1.25,1.015,1.156,0.891,0.937,0.781,0.922,0.953,1.344,1.047,3.782
sub33,0.172,0.125,0.171,0.14,0.125,0.297,0.125,0.109,0.125,0.14,0.14,0.234,0.125,0.094,0.251,0.079,0.125,0.875,0.093,0.438,0.172,0.016,0.031,0.36,0.047,1.032,1.016,1.812,1.594,1.876,1.173,1.125,0.671,0.984,0.921,4.267
sub35,0.11,0.14,0.125,0.109,0.094,0.656,0.172,0.11,0.11,0.094,0.094,0.859,0.157,0.156,0.266,0.094,0.188,0.515,0.172,0.25,0.109,0.047,0.031,0.453,0.157,1,1.016,1.641,1.562,1.625,1.235,1.032,0.595,1.376,1.531,4.61
sub36,0.094,0.109,0.11,0.109,0.094,0.5,0.141,0.094,0.125,0.125,0.109,0.641,0.141,0.125,0.328,0.062,0.126,0.437,0.141,0.422,0.094,0.125,0.031,0.407,0.141,0.937,0.938,1.376,1.266,1.547,1.235,1.188,0.703,1.297,1.313,4.267
sub37,0.125,0.094,0.093,0.125,0.094,0.531,0.125,0.094,0.11,0.125,0.094,0.515,0.125,0.219,0.438,0.172,0.203,0.547,0.125,0.313,0.14,0.093,0.063,0.422,0.125,1.266,1.219,1.656,1.5,1.579,1.188,1.109,0.719,1.313,1.219,4.61
sub37,0.11,0.078,0.094,0.109,0.094,0.516,0.109,0.094,0.109,0.094,0.078,0.516,0.094,0.234,0.422,0.125,0.219,0.562,0.109,0.375,0.125,0.125,0.109,0.61,0.094,1.172,1.141,1.578,1.5,1.641,1.219,1.172,0.734,1.469,1.407,4.798
sub38,0.094,0.109,0.094,0.094,0.062,0.313,0.125,0.109,0.094,0.094,0.078,0.344,0.125,0,0.172,0.031,0.125,0.391,0.125,0.234,0.063,0.016,0.062,0.344,0.125,0.594,0.687,1.047,0.985,1.109,0.813,0.766,0.484,0.906,0.922,2.891
sub38,0.094,0.094,0.078,0.094,0.078,0.515,0.093,0.094,0.109,0.094,0.078,0.594,0.094,0.14,0.344,0.156,0.172,0.422,0.093,0.297,0.11,0.031,0.094,0.437,0.094,1,1.016,1.39,1.281,1.406,1.125,0.953,0.61,1.203,1.297,4.125
sub38,0.094,0.109,0.094,0.078,0.093,0.328,0.125,0.094,0.094,0.11,0.094,0.312,0.125,0.031,0.297,0.063,0.125,0.344,0.125,0.281,0.078,0.016,0.015,0.36,0.125,0.766,0.859,1.11,0.968,1.14,0.875,0.781,0.469,0.891,0.891,3.078
